ID,d04,d06,d01,d02,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q11,Q12,nk03_02,Q13,Q14,Q15,nk07_01,nk07_02,nk07_03,nk07_04,nk07_06,nk07_08,nk08_01,nk08_06,nk08_03,nk08_04,nk08_05,nk08_05_a,nk09_01,nk09_08,nk09_05,nk09_06,nk09_09,nk09_10,nk10,nk11,Q16,Q17,nkp01_01,nkp01_02,nkp01_03,nkp01_04,nkp15_1,nkp15_2,nkp15_3,nkp15_4,nkp16,Q18,nkp17,nkp06,nkp07_01_01,nkp07_03,nkp07_05_01,nkp07_06,nkp07_08,nkp07_11,nkp07_14,nkd01_11,nkd01_02,nkd01_07,nkd01_12,nkd01_08,nkd01_14,nkd01_09,nkd01_13,Q19_1,Q19_2,Q19_3,Q19_4,Q19,nkd02_06,Q20,nkd04_01,nkd04_02,nkd04_03,nkd04_04,sk22_01,sk22_02,sk22_03,sk22_04,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q26_1,Q26_2,Q26_3,Q26_4,fp08_01,fp08_02,fp08_03,fp08_04,fp09_01,fp11,fp12,fp10,fp13,sk09,sk09_a,sk01,sk29_01,sk29_02,sk29_03,sk29_04,sk29_09,sk29_10,sk29_12,Q27,sk18_09,sk23_03,sk17_03,sk31,sk32_07,sk32_08,sk32_09,sk32_12,d12_raw,d07,d09_raw,d08,d10_08_15,d11,d13,d14,d15,wt
246,4,1,1,73,4,2,2,3,2,2,3,2,3,2,2,3,2,3,2,2,2,2,2,5,4,5,4,4,5,2,2,3,3,3,3,3,2,3,2,3,2,2,1,1,2,2,,1,1,1,1,2,1,2,2,2,3,2,2,2,3,2,3,3,2,1,2,2,2,5,4,3,4,2,3,2,4,3,4,4,2,3,4,3,3,4,2,3,3,2,2,2,3,2,2,2,3,2,2,1,3,3,1,2,3,2,1,3,2,3,4,4,3,3,1,2,2,3,4,1,3,2,1,3,2,5,1,2,1,2,1,2,2,3,2,2,2,2,2,4,3,3,4,2,3,1,5,3,3,2,1,0.93696047
247,4,1,1,68,1,1,3,5,2,3,1,2,2,2,2,1,2,2,2,1,2,3,3,5,4,5,5,4,5,3,2,3,3,3,3,3,2,3,2,3,3,2,2,1,2,2,,1,1,1,2,3,2,3,2,3,2,2,2,2,3,2,3,3,3,2,3,2,2,4,3,2,3,4,2,3,4,2,3,4,3,3,4,3,3,2,4,3,2,3,2,2,2,3,3,2,3,2,3,1,4,4,1,2,3,2,1,3,2,3,3,2,3,3,1,2,3,2,4,1,3,2,3,3,3,6,2,3,2,3,2,2,3,4,2,2,2,2,2,3,2,2,4,2,2,2,6,4,4,3,8,0.93696047
248,4,1,1,61,2,2,3,5,3,2,3,2,2,1,2,2,1,3,2,1,2,3,3,5,4,5,5,5,5,4,2,3,3,3,3,3,2,3,2,3,3,2,2,2,2,2,,1,1,1,1,3,3,2,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,5,4,4,3,3,2,3,4,3,2,4,4,3,4,3,3,4,2,2,3,3,2,2,2,3,2,3,4,3,3,1,4,4,1,2,3,3,1,3,2,2,4,4,3,2,1,2,3,2,4,1,3,2,3,3,2,5,1,2,1,2,2,1,2,3,2,2,2,2,2,2,2,2,4,2,3,99,5,3,4,3,4,0.93696047
249,4,1,1,60,1,2,2,4,2,1,3,2,2,1,2,2,1,2,2,1,2,3,3,5,4,3,4,5,4,3,2,2,3,3,2,3,2,4,4,4,4,2,2,2,2,2,,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,4,3,2,3,3,2,3,4,3,2,3,4,3,2,3,3,4,2,2,4,3,2,2,2,3,2,2,3,2,2,1,4,4,1,2,3,3,1,3,2,2,4,4,3,3,1,2,2,2,4,3,3,2,3,3,3,5,2,1,1,2,1,2,2,3,2,2,2,2,2,2,3,2,2,2,3,3,6,3,5,3,9,0.93696047
250,4,1,2,61,1,4,4,6,2,2,3,2,2,1,1,2,1,2,2,1,1,2,2,3,3,2,4,3,2,1,4,2,3,2,3,4,3,3,4,2,2,2,2,2,2,2,,1,1,2,3,4,3,1,1,4,2,2,1,2,3,3,3,3,2,4,2,2,2,4,2,4,1,1,1,2,4,5,5,4,3,3,3,4,3,4,2,2,2,2,1,3,3,3,2,3,3,2,2,1,2,1,1,2,3,3,3,3,2,2,4,4,4,4,1,2,2,2,4,2,3,2,1,3,3,7,2,4,2,2,3,2,2,2,1,2,3,3,2,4,4,3,9,2,3,2,5,4,5,2,1,0.97966639
251,4,1,2,62,3,3,3,3,3,3,3,3,3,2,3,3,1,3,3,1,3,2,3,4,3,4,4,3,3,1,4,3,3,3,2,4,3,3,4,2,2,2,2,2,2,2,,1,1,2,3,4,3,2,2,4,3,3,3,3,3,3,3,3,3,2,2,1,3,3,2,2,4,2,1,3,3,4,5,3,2,3,2,4,4,4,3,3,3,3,2,3,3,3,2,4,2,3,2,1,3,2,1,2,3,3,3,3,2,4,3,4,4,3,1,2,2,2,2,3,3,2,1,2,2,7,3,4,3,3,2,3,3,4,2,2,2,2,2,3,3,2,9,2,3,1,5,3,4,2,6,0.97966639
252,4,1,2,61,3,1,3,6,2,2,3,2,1,2,1,2,1,2,2,1,1,2,3,5,5,4,4,5,5,1,2,3,4,3,3,4,3,2,3,4,3,2,1,2,2,1,4,1,1,2,3,2,3,1,2,2,1,3,2,2,2,2,1,3,2,1,2,1,1,1,1,3,2,1,3,2,4,4,5,5,2,3,5,4,3,5,1,1,2,4,1,2,3,4,3,2,3,3,4,1,4,1,2,4,3,1,1,3,2,3,4,4,4,4,2,4,4,4,1,1,4,2,3,2,2,7,1,2,3,2,2,2,3,3,1,1,3,2,2,2,3,3,2,2,3,1,5,4,5,1,9,0.97966639
253,4,1,2,63,1,3,4,6,3,3,4,3,3,1,2,3,3,2,2,5,3,3,4,3,4,3,4,4,4,1,1,3,4,3,2,3,2,1,2,2,2,2,1,2,2,1,4,1,1,2,3,3,3,1,1,3,1,2,1,2,3,3,2,2,3,4,2,1,2,1,1,1,3,2,3,3,3,3,4,3,2,3,3,5,3,3,2,1,1,2,2,2,2,3,3,3,2,4,3,1,3,4,2,2,2,3,1,3,2,4,3,4,3,3,2,3,2,3,1,3,3,2,2,3,3,7,2,1,2,1,2,4,3,3,2,2,2,2,3,4,4,4,9,2,3,1,6,4,5,2,14,0.97966639
254,4,1,2,60,1,2,2,3,3,2,4,3,2,2,2,2,2,3,2,1,2,3,3,5,4,5,4,5,4,3,2,3,3,3,3,3,2,3,3,2,3,2,2,2,2,2,,1,1,1,1,3,2,2,2,2,2,2,2,2,3,2,3,3,3,2,3,2,2,5,4,3,3,2,3,2,4,3,3,4,2,3,3,3,3,4,2,2,4,3,2,2,2,3,2,2,2,3,3,1,3,4,1,2,3,3,1,3,2,4,2,3,4,4,1,2,2,2,4,1,3,2,3,3,3,5,1,2,2,1,1,2,2,3,7,2,3,2,2,3,3,3,2,2,2,98,7,3,4,4,10,0.97966639
255,4,1,2,60,1,2,3,5,2,2,3,2,2,1,2,2,1,2,2,1,2,3,3,5,4,5,5,5,5,3,2,3,3,3,2,3,2,3,3,3,2,2,1,1,2,2,,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,4,3,2,3,3,2,3,4,3,2,3,4,3,4,3,3,4,2,3,3,3,2,2,2,3,2,2,3,2,2,1,3,3,1,2,3,3,1,3,2,3,2,4,3,3,1,2,1,3,2,1,2,3,1,3,2,5,1,2,1,1,2,2,2,3,2,2,2,2,2,4,3,3,2,2,3,99,6,3,4,3,1,0.97966639
256,4,1,2,65,1,3,3,4,3,2,4,3,3,3,2,4,3,2,3,1,2,3,3,5,4,3,4,5,5,3,3,2,3,3,2,3,2,3,3,2,3,2,2,2,2,2,,1,1,1,1,3,2,2,2,2,3,2,2,2,3,2,3,3,3,2,3,2,2,4,4,3,2,3,4,3,4,2,3,4,3,3,4,3,3,4,2,2,3,3,2,2,2,3,2,2,3,3,2,1,3,4,1,2,2,2,1,3,2,4,4,4,3,3,1,2,2,2,4,1,3,2,3,3,3,6,2,1,2,2,2,1,2,3,2,2,2,2,2,2,2,2,9,2,2,2,7,3,3,3,16,0.97966639
257,4,1,2,71,1,2,3,2,3,2,4,3,3,2,3,2,3,3,2,3,2,2,3,5,4,5,5,5,4,2,1,3,3,3,3,3,2,3,2,3,2,2,2,2,2,2,,1,1,1,1,2,1,2,1,2,2,2,2,3,3,2,3,2,3,2,2,2,2,5,4,3,3,2,3,2,4,3,3,4,2,3,4,3,3,4,2,3,4,3,2,2,3,3,2,2,3,2,3,1,4,3,1,2,3,2,1,3,2,3,4,3,4,3,1,2,3,2,2,1,3,2,1,3,3,5,1,2,2,1,2,2,2,2,2,2,2,2,2,4,3,3,9,2,2,2,7,3,3,3,4,0.97966639
258,8,2,1,23,2,4,4,6,3,2,3,2,2,2,1,2,1,2,2,1,2,2,3,4,2,2,4,4,4,2,1,3,3,3,3,4,3,4,3,4,3,2,2,2,2,2,,1,2,2,2,3,3,2,2,2,3,3,3,2,3,2,2,3,3,1,3,2,3,2,2,1,2,3,2,2,3,3,4,3,3,3,4,4,3,2,2,2,2,1,2,2,3,3,2,3,2,3,3,1,3,3,1,3,2,2,4,3,3,3,3,3,4,3,1,3,1,2,4,3,3,2,3,3,3,7,2,3,3,2,2,3,3,3,2,2,3,3,3,3,4,3,10,1,4,98,10,3,4,6,8,1.25674510
259,8,2,1,27,3,3,4,5,3,1,1,2,1,1,2,3,2,2,3,3,2,1,2,3,4,5,5,3,3,1,1,4,4,2,1,4,4,4,4,3,2,2,2,2,2,2,,2,2,1,1,1,1,2,1,1,3,3,3,3,3,3,3,2,2,1,2,3,2,2,1,2,4,3,2,2,3,4,4,3,2,4,4,4,4,4,3,3,2,2,2,3,3,3,3,4,5,5,4,1,4,1,1,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,1,3,2,3,4,3,7,2,2,3,2,3,3,3,3,7,5,3,1,2,2,2,2,3,1,4,98,3,5,6,6,8,1.25674510
260,8,2,1,29,1,2,3,3,2,2,3,4,1,1,2,3,3,3,2,3,3,3,2,4,2,4,4,4,2,1,2,2,3,2,3,2,2,2,3,4,3,2,1,1,2,2,,1,1,1,2,3,2,2,2,2,1,2,1,2,2,2,2,2,3,4,3,2,1,1,2,2,1,1,3,1,4,5,4,5,3,3,3,5,3,2,3,1,3,3,2,2,2,2,1,2,3,4,2,1,4,1,1,1,3,3,1,3,3,3,2,3,3,3,1,2,3,3,2,1,3,2,3,3,2,6,2,2,2,1,1,3,2,2,1,1,3,3,3,4,4,3,2,1,4,98,9,3,4,3,6,1.25674510
261,8,2,1,28,2,1,1,6,1,1,3,4,1,4,2,1,1,2,2,2,1,2,1,3,3,1,1,2,5,2,1,2,4,1,1,1,4,3,3,4,3,2,1,1,2,1,1,1,1,1,2,2,1,1,2,2,1,1,1,3,2,2,2,2,3,1,2,1,1,1,2,5,5,3,2,2,2,5,5,5,3,1,4,5,4,4,4,3,3,3,2,1,2,2,3,3,3,3,3,3,2,1,1,4,1,1,1,2,1,1,1,3,1,1,1,3,2,2,4,3,3,2,2,1,2,10,1,1,2,2,2,3,1,4,2,2,2,2,4,3,3,2,6,1,4,3,10,3,4,6,8,1.25674510
262,8,2,1,26,1,1,1,3,3,2,3,2,1,1,1,3,2,2,2,1,3,1,2,4,3,2,3,3,3,1,2,2,2,3,3,4,3,3,4,4,3,2,2,2,2,2,,1,1,2,3,4,4,2,1,2,3,2,1,3,2,3,3,3,2,1,2,1,2,3,4,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,2,2,1,1,3,2,3,2,4,3,3,1,4,2,1,3,3,3,1,3,2,2,2,3,4,4,2,3,2,2,4,3,3,2,3,2,3,9,3,2,4,3,3,3,3,2,1,1,3,2,3,3,4,3,10,1,4,98,11,3,3,2,8,1.25674510
263,8,2,1,25,1,2,5,6,4,4,4,3,2,2,3,4,2,2,3,1,3,2,2,3,2,2,3,3,3,1,2,3,4,4,3,4,2,2,4,4,2,2,2,2,2,2,,1,1,2,3,3,3,3,1,3,2,4,2,3,3,4,3,3,2,1,2,3,2,5,5,2,2,3,3,3,3,4,3,3,3,4,3,3,3,4,3,3,4,3,1,2,3,3,3,2,3,4,3,1,4,3,1,2,3,3,1,3,2,2,2,3,3,3,1,3,2,3,4,3,3,2,3,2,3,9,3,2,4,4,3,3,4,3,1,1,3,2,4,4,4,4,10,1,4,98,10,4,4,2,8,1.25674510
264,8,2,1,26,2,3,5,3,3,3,4,3,2,2,2,3,3,3,3,3,3,2,2,3,2,3,4,3,3,2,5,3,4,4,2,2,3,2,3,4,3,2,2,2,2,2,,1,1,2,3,3,3,2,1,2,2,3,3,2,2,4,3,3,3,1,3,2,2,4,3,4,3,4,2,4,3,3,4,3,3,4,4,3,3,4,3,4,3,3,1,2,3,3,2,2,3,4,3,1,4,3,1,2,3,3,1,3,2,3,2,3,3,3,1,2,2,2,4,3,3,2,1,2,3,9,3,2,4,3,2,3,3,3,7,1,3,3,3,4,3,3,10,1,4,98,11,3,3,1,8,1.25674510
265,8,2,1,28,1,1,3,4,3,3,3,3,2,2,2,3,2,1,3,1,3,2,2,2,2,2,3,3,3,2,2,3,3,4,3,3,3,3,3,4,3,2,2,2,2,2,,1,1,2,3,4,3,3,1,3,3,4,2,3,2,4,4,3,3,1,3,1,2,4,4,3,2,3,2,3,3,3,3,3,2,3,2,3,3,3,3,3,2,2,1,2,3,4,3,2,4,3,3,1,3,1,1,2,3,3,1,3,2,2,2,4,4,4,1,3,1,3,4,3,3,2,3,2,3,8,2,2,4,4,3,4,4,2,1,1,3,3,4,4,4,4,6,1,4,98,10,3,4,2,8,1.25674510
266,8,2,1,26,1,3,4,6,1,1,3,1,2,1,1,2,1,3,2,3,3,3,3,5,5,5,3,4,5,3,1,2,3,3,1,4,3,3,3,2,2,2,1,1,2,2,,1,1,1,4,4,4,1,1,1,1,1,2,1,3,1,1,4,2,4,3,2,2,2,2,3,3,1,3,1,2,2,2,2,1,2,2,3,5,5,1,2,2,2,2,2,4,4,1,5,5,5,2,1,4,1,1,1,1,1,1,1,2,2,2,3,4,4,1,1,2,2,4,1,3,2,3,4,3,8,2,4,1,1,2,1,2,5,2,2,2,2,2,2,3,2,3,1,4,98,11,3,4,3,8,1.25674510
267,8,2,1,24,1,4,3,6,1,1,3,1,3,2,1,3,2,3,2,3,3,2,3,5,5,5,5,5,5,2,5,3,3,4,1,4,3,3,1,1,2,2,1,1,2,2,,1,1,1,3,3,3,1,1,2,1,4,4,3,4,1,2,2,1,4,4,2,2,5,3,2,1,1,2,2,3,3,3,3,1,2,2,2,4,4,1,3,1,1,2,4,3,3,1,2,4,5,2,1,3,1,1,1,3,3,1,4,2,2,1,4,4,4,1,1,1,1,4,3,4,1,1,3,4,7,4,4,2,1,2,2,2,4,2,2,4,3,3,3,4,3,3,1,4,98,11,3,4,2,8,1.25674510
268,8,2,1,26,3,2,2,6,1,1,3,1,1,1,1,3,1,1,1,3,4,2,3,4,5,3,4,4,3,2,1,3,3,3,2,4,3,4,4,4,3,2,2,2,2,2,,2,1,2,2,3,3,2,1,2,2,2,3,3,3,2,1,2,2,4,3,1,3,4,2,2,2,2,2,4,2,4,4,2,1,1,1,1,5,5,5,5,5,1,2,2,3,3,2,3,3,2,3,1,3,3,1,3,2,2,3,3,4,4,2,3,3,3,2,4,2,3,3,3,2,2,3,3,3,6,2,3,3,3,2,3,3,3,1,1,3,3,3,3,4,3,2,1,4,98,11,3,4,3,8,1.25674510
269,8,2,1,29,3,4,4,5,2,2,3,1,3,2,2,3,3,3,3,3,3,3,3,4,3,5,5,5,5,3,3,2,3,2,1,3,4,3,3,3,3,2,2,2,2,2,,1,1,2,3,3,2,2,1,2,3,2,2,1,3,3,2,3,2,4,3,2,5,4,2,3,2,2,2,1,3,2,3,4,2,3,2,3,3,3,2,1,1,1,2,2,3,1,2,4,1,3,3,1,4,1,1,3,4,4,1,3,2,2,1,3,3,3,1,2,3,3,2,1,3,2,1,3,3,7,2,3,1,2,1,2,2,3,7,5,4,2,2,2,2,3,3,1,3,98,6,3,4,3,8,1.25674510
270,8,2,1,29,4,4,4,5,3,3,4,1,3,3,1,3,2,3,3,3,3,3,4,5,5,4,4,5,5,1,3,4,2,2,2,4,4,3,3,3,4,2,2,2,2,2,,2,1,2,4,3,3,1,1,2,3,3,3,3,3,3,3,3,3,4,3,1,5,3,2,3,2,2,3,3,2,2,2,3,2,3,2,3,2,3,4,2,2,2,2,4,4,1,1,4,2,3,3,1,2,3,1,1,3,3,1,1,3,3,1,2,3,4,1,1,2,2,2,1,4,1,1,3,3,7,2,3,2,1,1,2,2,3,7,1,4,3,2,2,3,3,6,2,2,98,7,3,4,3,1,1.25674510
271,8,2,1,19,2,5,5,6,3,2,3,3,4,4,3,2,2,1,2,1,1,4,4,5,5,4,4,5,5,1,5,4,4,4,1,3,3,3,3,3,3,2,2,2,2,2,,1,1,2,1,1,1,1,4,3,4,1,2,2,3,2,3,2,3,2,2,1,2,3,2,3,4,4,1,3,3,3,2,3,1,3,3,3,3,4,3,4,4,4,3,3,4,3,3,2,1,2,2,1,4,2,1,1,2,2,1,1,2,2,1,2,3,3,1,2,3,3,4,3,3,3,1,2,3,6,1,2,3,1,1,3,4,3,1,5,2,3,2,2,2,2,12,2,3,2,6,3,4,3,8,1.25674510
272,8,2,1,27,1,5,4,4,3,3,3,2,1,1,1,1,2,1,2,4,3,2,4,4,4,4,4,4,4,1,2,3,3,4,2,3,2,2,4,4,2,2,2,2,2,2,,3,4,2,3,2,2,1,2,3,4,4,4,4,4,4,4,4,4,2,2,3,1,2,3,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,3,2,3,2,3,4,4,3,3,2,4,3,1,4,3,2,2,2,2,3,4,4,4,3,3,3,3,2,2,2,3,4,3,4,1,3,3,4,8,2,1,3,2,2,1,2,1,7,1,3,1,3,3,3,3,2,1,3,98,7,4,5,3,8,1.25674510
273,8,2,1,28,1,5,5,4,3,3,4,3,3,3,3,3,3,3,3,2,3,4,3,4,4,3,4,4,3,1,5,3,3,3,1,3,3,3,4,4,4,2,2,2,2,2,,2,4,3,3,4,4,3,3,3,2,2,2,1,2,3,2,2,3,2,3,1,2,4,3,4,3,2,2,2,3,4,4,4,3,3,3,4,3,3,2,2,2,2,3,3,3,2,3,2,3,4,2,1,3,4,1,2,2,2,3,3,3,3,3,3,3,3,1,2,2,2,4,3,3,2,3,2,2,8,2,2,3,2,2,1,2,2,7,5,3,3,3,2,2,3,6,1,4,98,7,4,4,3,8,1.25674510
274,8,2,1,21,1,3,2,6,1,1,3,2,2,4,4,1,2,1,4,2,1,1,3,2,1,1,4,4,2,1,2,2,1,4,3,1,4,4,4,4,3,1,1,1,2,1,2,3,2,4,4,2,1,1,2,1,1,2,1,1,4,1,2,2,3,1,1,2,4,1,1,3,3,2,5,1,1,3,3,2,2,5,3,5,3,4,4,5,3,5,1,3,2,2,4,1,2,3,2,3,3,1,3,4,3,4,1,3,3,1,1,3,3,1,1,3,3,2,2,1,1,2,3,2,1,7,1,3,3,1,2,2,4,2,3,3,2,3,2,3,1,1,10,1,4,2,10,3,3,1,1,1.25674510
275,8,2,1,28,1,2,4,5,2,3,3,2,2,2,1,3,2,3,3,1,3,3,3,4,5,3,3,4,4,3,2,3,3,3,3,3,2,3,3,3,2,2,1,1,2,2,,1,1,2,2,2,1,2,1,3,2,2,2,2,2,2,2,3,3,4,3,2,2,4,4,3,3,2,2,3,4,3,4,4,3,3,2,4,3,4,2,2,3,3,2,2,3,2,2,3,3,2,3,1,4,3,1,3,2,2,1,3,2,2,4,4,3,3,1,2,3,3,2,3,3,2,3,3,2,8,2,3,2,2,3,2,2,2,7,5,3,2,3,4,4,3,3,1,4,98,10,3,3,2,1,1.25674510
276,8,2,1,27,1,2,3,4,2,2,2,1,1,1,1,3,1,2,1,1,3,2,2,4,4,3,3,4,4,2,2,3,4,3,3,4,4,4,4,4,4,2,2,2,2,1,4,2,2,2,2,3,3,2,1,2,3,2,1,1,2,2,1,2,2,2,3,2,3,3,3,2,3,4,4,4,3,3,3,4,3,4,4,5,4,4,4,2,3,4,2,3,3,3,2,2,2,3,2,1,3,4,1,2,3,3,1,3,2,2,2,3,3,3,1,2,3,4,2,3,2,2,1,3,3,5,3,3,3,2,1,2,1,3,7,5,3,3,3,3,4,3,3,1,3,98,10,4,5,2,8,1.25674510
277,8,2,1,26,1,3,5,5,3,3,2,3,3,3,3,2,2,2,2,5,2,2,3,5,5,5,5,5,5,1,5,4,3,2,2,4,4,4,4,4,4,2,2,2,2,2,,1,1,2,1,4,4,2,1,1,2,4,1,2,1,4,4,1,1,4,4,2,3,5,5,4,4,1,2,1,1,3,3,3,2,1,3,1,4,4,1,3,3,3,1,2,1,2,1,1,4,4,2,1,4,2,1,3,3,3,1,1,2,2,1,3,3,3,1,1,1,1,2,1,3,2,1,3,2,5,3,3,3,1,1,2,1,2,7,2,3,2,2,2,3,2,6,1,4,98,11,3,4,2,18,1.25674510
278,8,2,1,29,1,2,3,4,3,1,2,2,3,2,3,2,2,2,2,3,1,2,2,3,4,2,3,3,4,2,2,2,3,3,2,2,2,3,3,3,3,2,2,2,2,2,,2,2,3,3,3,3,2,1,3,2,2,2,2,3,1,2,3,3,2,3,3,2,2,2,5,1,2,3,4,3,4,4,4,2,4,4,4,4,4,3,2,3,4,2,3,3,2,3,2,3,4,2,1,3,3,1,2,2,2,3,3,3,3,3,4,4,4,2,3,2,2,4,3,3,2,3,3,3,5,1,2,2,1,3,2,2,3,1,1,3,3,2,2,3,3,4,1,3,98,7,5,5,2,8,1.25674510
279,8,2,1,22,1,4,3,6,2,2,4,1,1,2,1,3,2,1,1,3,3,2,3,4,4,4,3,4,4,3,2,3,2,2,3,4,4,4,4,4,3,2,2,2,2,2,,1,1,2,2,2,1,2,1,2,2,3,1,1,2,3,1,1,2,4,2,2,2,3,2,2,1,2,2,3,4,4,5,5,4,4,4,5,5,4,4,4,3,2,2,3,4,3,2,2,1,4,3,1,4,3,1,2,3,3,1,3,2,2,3,3,4,4,1,2,2,2,4,3,3,2,3,3,3,7,2,1,3,2,2,2,3,2,7,5,3,2,3,3,4,3,10,1,4,98,10,4,4,2,8,1.25674510
280,8,2,1,29,1,5,5,4,3,3,4,3,3,3,3,3,1,4,4,2,3,4,4,5,5,3,5,5,5,1,5,4,4,3,1,4,4,4,4,4,4,2,2,2,2,2,,4,4,4,4,4,4,4,2,2,2,2,1,2,2,3,2,2,3,1,3,2,2,4,2,3,2,2,1,2,3,5,5,4,3,3,3,3,3,3,2,2,1,2,3,3,3,4,2,1,3,4,1,1,3,1,1,2,3,3,3,3,3,3,3,4,4,4,1,1,1,1,4,3,3,2,3,2,3,9,2,2,2,1,2,2,2,2,1,1,4,3,3,2,4,3,3,1,4,98,10,4,4,3,8,1.25674510
281,8,2,1,29,1,4,5,6,3,3,3,3,3,3,3,3,2,3,3,2,2,3,4,5,5,4,5,4,5,1,5,3,3,4,2,4,4,4,4,4,4,2,2,2,2,2,,3,3,3,3,3,3,3,2,3,2,1,2,2,2,3,2,2,2,1,3,2,2,3,2,3,2,2,2,1,3,4,4,4,3,3,3,3,3,3,2,2,1,2,2,3,2,3,3,2,3,4,3,1,3,2,1,3,2,2,3,3,3,3,3,3,3,3,2,2,2,2,3,2,3,2,3,3,3,7,2,3,2,3,3,2,3,3,7,4,3,3,2,3,3,3,3,1,4,98,11,3,3,3,18,1.25674510
282,8,2,1,63,1,2,3,4,3,2,3,3,2,1,2,3,3,2,3,3,2,2,2,4,5,5,5,5,4,2,4,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,,1,1,1,2,2,1,2,1,3,1,2,2,2,2,3,2,2,3,2,3,3,3,3,2,3,2,2,3,2,5,5,5,3,5,5,5,5,4,4,3,4,4,4,1,3,2,3,2,4,2,2,4,1,3,4,1,2,3,4,3,3,3,3,3,2,3,3,3,2,3,3,2,1,2,3,1,4,3,6,2,2,3,3,3,2,2,4,2,2,3,3,3,3,3,3,5,2,2,98,5,5,6,2,11,1.26754240
283,8,2,1,60,3,3,4,4,4,2,3,3,4,3,1,3,3,3,2,2,5,3,2,3,2,2,3,3,3,2,3,2,2,2,2,3,4,4,3,3,4,2,2,2,2,2,,3,4,4,3,3,3,2,1,2,3,4,3,2,3,4,3,2,3,4,2,3,3,2,3,3,4,3,3,3,3,3,3,3,2,3,3,4,2,2,3,2,2,3,2,3,2,2,3,3,2,3,3,1,3,1,1,1,1,1,1,1,2,2,2,2,3,3,2,2,2,2,4,1,2,2,3,3,3,6,2,3,2,2,2,2,2,3,3,1,3,3,2,2,3,4,2,2,4,2,7,4,5,4,1,1.26754240
284,8,2,1,62,1,3,3,5,2,3,4,2,3,2,1,2,2,3,3,3,3,3,3,4,5,3,4,4,4,2,3,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,,1,1,1,3,4,4,1,1,2,2,2,1,2,3,2,2,1,1,4,2,2,3,4,2,4,1,3,4,2,2,3,3,4,1,2,2,5,2,3,3,4,3,3,2,2,3,2,1,2,3,2,2,1,3,1,1,3,2,2,3,3,3,3,4,3,3,4,1,1,1,1,4,3,3,3,3,4,4,6,2,3,2,1,2,1,2,5,2,2,2,2,2,3,2,2,5,2,3,98,7,3,4,3,10,1.26754240
285,8,2,1,69,1,5,4,6,4,1,4,3,2,2,2,2,2,2,2,5,4,3,3,3,3,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,,1,1,1,1,1,1,1,1,3,1,2,1,1,3,3,2,2,2,4,4,2,1,1,1,4,2,3,1,2,4,3,3,3,2,2,3,3,4,4,4,1,3,3,2,2,3,3,2,2,4,3,2,1,4,3,1,1,1,1,1,3,2,2,3,3,3,3,1,1,1,1,1,3,4,1,3,2,2,5,2,3,2,2,2,2,3,3,1,1,4,3,2,2,3,3,5,2,4,1,6,4,4,2,8,1.26754240
286,8,2,1,71,1,1,2,2,2,2,3,2,2,3,3,2,2,2,2,3,1,2,2,4,3,4,5,4,4,4,3,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,4,3,1,2,1,2,4,2,2,3,3,1,3,1,1,1,2,2,1,2,2,2,3,3,3,3,3,2,3,3,3,3,2,3,3,3,1,2,1,1,1,2,3,3,2,1,5,3,2,2,3,3,1,3,3,3,1,3,3,3,1,1,1,1,4,3,3,3,3,3,3,6,2,3,2,2,1,1,2,3,7,5,2,2,2,3,2,2,12,4,2,98,3,5,6,4,8,1.26754240
287,8,2,1,72,3,2,3,4,3,2,3,2,1,1,1,2,2,3,2,1,1,2,3,3,4,5,5,4,3,1,2,2,3,2,2,2,2,4,4,4,3,2,2,2,2,2,,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,3,1,2,2,2,2,1,1,2,2,3,2,2,3,2,3,2,2,2,2,4,3,5,3,2,2,2,3,2,3,2,2,3,4,3,3,4,1,1,1,1,1,3,3,3,3,3,3,2,3,2,2,2,2,4,3,4,1,3,3,4,8,2,1,3,2,3,3,2,4,2,2,2,1,2,3,2,1,12,2,3,98,9,3,4,3,14,1.26754240
