id,dem03,dem03_raw,dem04,dem01,dem14_01,dem14_01_raw,Q2,Q3,Q4,uni04_01,uni04_02,uni04_03,uni04_04,Q5_1,Q5_5,Q5_2,Q5_3,Q5_9,Q5_6,Q6,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,uni10,uni11,Q11,Q12,nk03_03,Q13,nk04_01,Q14,Q15,nk07_01,nk07_02,nk07_03,nk07_04,nk07_06,nk07_07,nk08_01,nk08_02,nk08_03,nk08_04,nk09_01,nk09_02,nk09_04,nk09_05,nk09_06,nk09_07,nk10,nk11,nkp10,nkp01,nkp04,Q18,nkp06,nkp07_01,nkp07_03,nkp07_05,nkp07_06,nkp07_08,nkp07_11,nkp09_01,nkp09_02,nkp09_03,nkp09_04,nkp09_05,int01,Q19_1,Q19_2,Q19_3,Q19_4,Q20,int04_01,int04_02,int04_03,int04_04,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q26_1,Q26_2,Q26_3,Q26_4,int12_01,int12_02,int12_03,int12_04,int13,int14,sk02_01,sk02_02,sk02_03,sk02_04,sk02_05,sk02_08,sk05_08,sk05_09,sk05_01,sk05_03,sk05_05,sk05_10,sk05_06,sk05_11,sk09,sk10,sk01,nk12,sk07,Q27,sk18,sk17,sk22_01,sk22_02,sk22_03,dem08,dem08_raw,dem05,dem07,dem07_raw,dem06,dem09,dem09_raw,dem10,dem11,dem12,dem13
23.00,1.00,1.00,1.00,1.00,2.00,36.00,2.00,2.00,6.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,5.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,1.00,1.00,3.00,4.00,3.00,3.00,2.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,1.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,2.00,3.00,2.00,2.00,3.00,3.00,1.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,1.00,3.00,1.00,2.00,1.00,3.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,3.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,7.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,3.00,1.00,3.00,7.00,4.00,4.00,2.00,1.00
24.00,1.00,1.00,1.00,1.00,2.00,32.00,3.00,3.00,6.00,3.00,4.00,3.00,3.00,2.00,3.00,3.00,4.00,2.00,3.00,1.00,3.00,4.00,4.00,4.00,5.00,4.00,5.00,4.00,3.00,3.00,1.00,5.00,3.00,3.00,5.00,4.00,4.00,3.00,2.00,2.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,4.00,2.00,4.00,3.00,2.00,2.00,3.00,4.00,5.00,4.00,3.00,4.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00,2.00,2.00,3.00,4.00,4.00,4.00,1.00,1.00,3.00,2.00,1.00,2.00,3.00,3.00,1.00,2.00,3.00,3.00,3.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,2.00,4.00,4.00,3.00,4.00,3.00,4.00,3.00,1.00,3.00,2.00,1.00,2.00,3.00,3.00,1.00,3.00,2.00,10.00,4.00,2.00,4.00,6.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,3.00,7.00,3.00,4.00,3.00,1.00
25.00,1.00,1.00,1.00,1.00,2.00,39.00,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,3.00,1.00,3.00,5.00,5.00,4.00,3.00,1.00,1.00,3.00,3.00,3.00,1.00,2.00,4.00,1.00,2.00,4.00,2.00,2.00,2.00,2.00,4.00,4.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,3.00,1.00,5.00,1.00,1.00,4.00,1.00,1.00,1.00,5.00,1.00,5.00,5.00,1.00,1.00,1.00,2.00,5.00,3.00,5.00,5.00,3.00,3.00,1.00,1.00,1.00,4.00,3.00,1.00,3.00,4.00,1.00,1.00,2.00,1.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,2.00,2.00,3.00,2.00,3.00,3.00,1.00,4.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,1.00,2.00,1.00,2.00,4.00,1.00,1.00,6.00,4.00,1.00,5.00,1.00,4.00,8.00,2.00,3.00,5.00,1.00,3.00,8.00,4.00,4.00,4.00,1.00
26.00,1.00,1.00,1.00,1.00,2.00,35.00,2.00,2.00,4.00,4.00,1.00,1.00,1.00,2.00,2.00,2.00,4.00,3.00,2.00,5.00,1.00,2.00,5.00,5.00,4.00,3.00,5.00,5.00,3.00,3.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,3.00,1.00,4.00,3.00,2.00,1.00,2.00,2.00,1.00,1.00,3.00,1.00,2.00,1.00,2.00,1.00,2.00,4.00,2.00,2.00,3.00,1.00,1.00,1.00,3.00,3.00,1.00,1.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,1.00,2.00,2.00,3.00,4.00,2.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,3.00,3.00,3.00,4.00,3.00,2.00,2.00,3.00,3.00,3.00,2.00,1.00,2.00,4.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,1.00,3.00,1.00,1.00,3.00,2.00,8.00,1.00,2.00,4.00,1.00,2.00,1.00,2.00,1.00,3.00,3.00,2.00,3.00,4.00,3.00,4.00,10.00,3.00,4.00,1.00,1.00
27.00,1.00,1.00,1.00,1.00,2.00,37.00,2.00,2.00,2.00,3.00,4.00,3.00,4.00,2.00,3.00,3.00,2.00,3.00,3.00,1.00,2.00,2.00,4.00,5.00,4.00,4.00,4.00,4.00,3.00,3.00,1.00,2.00,3.00,3.00,4.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,5.00,3.00,3.00,3.00,4.00,2.00,2.00,2.00,1.00,3.00,1.00,1.00,2.00,2.00,2.00,2.00,3.00,4.00,4.00,4.00,2.00,2.00,3.00,1.00,4.00,1.00,1.00,3.00,1.00,1.00,2.00,3.00,2.00,1.00,2.00,1.00,2.00,3.00,4.00,3.00,3.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,3.00,3.00,2.00,1.00,3.00,1.00,2.00,2.00,3.00,3.00,2.00,3.00,2.00,4.00,2.00,3.00,3.00,6.00,2.00,2.00,2.00,1.00,4.00,6.00,2.00,3.00,5.00,3.00,2.00,6.00,3.00,4.00,2.00,13.00
28.00,1.00,1.00,1.00,1.00,2.00,38.00,4.00,2.00,6.00,3.00,2.00,3.00,2.00,2.00,2.00,1.00,3.00,3.00,2.00,1.00,2.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,3.00,1.00,1.00,4.00,3.00,3.00,3.00,2.00,2.00,3.00,3.00,3.00,4.00,4.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,3.00,3.00,3.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,4.00,3.00,2.00,3.00,3.00,4.00,4.00,3.00,3.00,1.00,3.00,3.00,3.00,2.00,4.00,2.00,1.00,2.00,3.00,3.00,3.00,1.00,3.00,3.00,3.00,3.00,3.00,4.00,3.00,2.00,1.00,3.00,2.00,3.00,3.00,2.00,2.00,3.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,3.00,3.00,2.00,2.00,3.00,2.00,6.00,3.00,4.00,3.00,6.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,3.00,98.00,3.00,7.00,3.00,4.00,3.00,13.00
29.00,1.00,1.00,1.00,1.00,2.00,36.00,4.00,3.00,6.00,4.00,4.00,3.00,3.00,2.00,2.00,1.00,2.00,3.00,2.00,3.00,2.00,2.00,3.00,4.00,4.00,3.00,4.00,4.00,3.00,1.00,1.00,4.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,2.00,2.00,2.00,1.00,3.00,3.00,3.00,2.00,3.00,3.00,2.00,2.00,3.00,2.00,2.00,4.00,4.00,2.00,3.00,3.00,4.00,3.00,3.00,3.00,2.00,2.00,3.00,3.00,2.00,1.00,3.00,2.00,2.00,3.00,2.00,3.00,1.00,2.00,3.00,3.00,3.00,3.00,4.00,3.00,2.00,2.00,3.00,2.00,1.00,3.00,2.00,3.00,3.00,2.00,3.00,3.00,1.00,2.00,3.00,2.00,3.00,3.00,2.00,2.00,3.00,2.00,8.00,3.00,2.00,4.00,1.00,2.00,2.00,3.00,3.00,3.00,3.00,1.00,2.00,3.00,98.00,4.00,9.00,3.00,4.00,3.00,1.00
30.00,1.00,1.00,1.00,1.00,2.00,39.00,3.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,3.00,3.00,3.00,1.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,1.00,2.00,3.00,3.00,4.00,3.00,3.00,2.00,2.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,3.00,3.00,2.00,3.00,2.00,2.00,3.00,2.00,2.00,4.00,1.00,3.00,3.00,4.00,4.00,3.00,4.00,4.00,3.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,4.00,1.00,1.00,2.00,2.00,2.00,1.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00,3.00,3.00,2.00,2.00,2.00,5.00,2.00,3.00,3.00,2.00,2.00,2.00,1.00,1.00,1.00,3.00,2.00,1.00,3.00,2.00,4.00,3.00,3.00,4.00,6.00,2.00,2.00,3.00,2.00,2.00,2.00,1.00,2.00,3.00,98.00,1.00,4.00,4.00,4.00,3.00,1.00
31.00,1.00,1.00,1.00,1.00,2.00,38.00,3.00,2.00,5.00,2.00,2.00,3.00,2.00,3.00,3.00,2.00,3.00,2.00,2.00,1.00,3.00,3.00,4.00,3.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,2.00,2.00,3.00,4.00,3.00,3.00,3.00,2.00,3.00,4.00,4.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,4.00,2.00,3.00,2.00,3.00,3.00,2.00,3.00,3.00,4.00,4.00,1.00,2.00,3.00,3.00,3.00,3.00,4.00,3.00,2.00,2.00,2.00,3.00,2.00,3.00,3.00,1.00,4.00,4.00,1.00,1.00,2.00,2.00,3.00,3.00,3.00,3.00,2.00,3.00,3.00,3.00,3.00,2.00,3.00,3.00,1.00,3.00,3.00,2.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,3.00,3.00,2.00,2.00,2.00,3.00,3.00,8.00,3.00,3.00,2.00,6.00,3.00,4.00,3.00,3.00,4.00,6.00,2.00,3.00,4.00,98.00,4.00,9.00,2.00,3.00,2.00,1.00
32.00,1.00,1.00,1.00,1.00,3.00,45.00,2.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,1.00,1.00,3.00,2.00,2.00,3.00,2.00,3.00,2.00,3.00,3.00,3.00,2.00,2.00,3.00,1.00,2.00,5.00,3.00,2.00,4.00,2.00,2.00,4.00,2.00,2.00,3.00,4.00,4.00,2.00,2.00,2.00,2.00,1.00,2.00,3.00,2.00,2.00,2.00,1.00,1.00,4.00,3.00,2.00,2.00,2.00,4.00,2.00,2.00,3.00,2.00,3.00,1.00,3.00,3.00,2.00,2.00,2.00,4.00,4.00,5.00,5.00,2.00,2.00,2.00,3.00,3.00,1.00,3.00,1.00,1.00,3.00,2.00,2.00,1.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,1.00,3.00,2.00,2.00,3.00,3.00,3.00,2.00,2.00,2.00,6.00,2.00,2.00,3.00,6.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,98.00,3.00,7.00,4.00,5.00,1.00,1.00
33.00,1.00,1.00,1.00,1.00,3.00,49.00,4.00,4.00,6.00,3.00,2.00,2.00,2.00,3.00,1.00,2.00,3.00,3.00,2.00,4.00,3.00,3.00,4.00,5.00,4.00,4.00,5.00,5.00,3.00,3.00,2.00,2.00,3.00,4.00,4.00,3.00,3.00,4.00,3.00,3.00,4.00,4.00,3.00,2.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,1.00,1.00,2.00,4.00,4.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,3.00,3.00,2.00,2.00,3.00,3.00,3.00,2.00,2.00,3.00,3.00,4.00,3.00,2.00,1.00,4.00,3.00,1.00,1.00,3.00,2.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,3.00,2.00,2.00,2.00,2.00,3.00,4.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,3.00,3.00,3.00,2.00,3.00,2.00,7.00,2.00,3.00,3.00,6.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,3.00,98.00,3.00,8.00,4.00,4.00,2.00,8.00
34.00,1.00,1.00,1.00,1.00,3.00,44.00,4.00,2.00,5.00,3.00,3.00,3.00,4.00,2.00,1.00,1.00,2.00,2.00,2.00,3.00,2.00,3.00,4.00,5.00,5.00,5.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,3.00,2.00,4.00,3.00,3.00,3.00,4.00,3.00,2.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,5.00,3.00,3.00,3.00,3.00,4.00,4.00,2.00,3.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,3.00,4.00,3.00,2.00,3.00,2.00,3.00,4.00,3.00,2.00,1.00,3.00,2.00,1.00,1.00,3.00,1.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,3.00,2.00,2.00,3.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,5.00,2.00,2.00,3.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,2.00,8.00,2.00,3.00,3.00,2.00,2.00,2.00,3.00,2.00,3.00,3.00,2.00,2.00,3.00,99.00,4.00,9.00,3.00,4.00,2.00,8.00
35.00,1.00,1.00,1.00,1.00,3.00,41.00,1.00,2.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,1.00,3.00,1.00,1.00,3.00,3.00,3.00,3.00,5.00,5.00,3.00,3.00,4.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,1.00,2.00,5.00,1.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00,2.00,3.00,3.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,3.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,3.00,3.00,3.00,2.00,3.00,3.00,3.00,2.00,3.00,2.00,1.00,2.00,3.00,3.00,2.00,3.00,2.00,5.00,3.00,3.00,3.00,6.00,2.00,3.00,3.00,3.00,4.00,8.00,2.00,2.00,3.00,98.00,3.00,7.00,3.00,4.00,2.00,1.00
36.00,1.00,1.00,1.00,1.00,3.00,49.00,3.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,3.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00,2.00,2.00,3.00,3.00,4.00,5.00,3.00,1.00,4.00,3.00,2.00,2.00,1.00,1.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,3.00,2.00,2.00,1.00,2.00,2.00,4.00,3.00,2.00,2.00,3.00,4.00,2.00,2.00,2.00,2.00,3.00,1.00,3.00,3.00,2.00,3.00,3.00,4.00,4.00,4.00,4.00,1.00,2.00,2.00,3.00,2.00,1.00,3.00,1.00,1.00,3.00,2.00,2.00,1.00,2.00,3.00,3.00,2.00,3.00,3.00,3.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,1.00,2.00,2.00,1.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,7.00,3.00,2.00,3.00,6.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,3.00,98.00,2.00,6.00,4.00,5.00,1.00,10.00
37.00,1.00,1.00,1.00,1.00,3.00,46.00,1.00,2.00,3.00,1.00,2.00,3.00,1.00,1.00,2.00,1.00,2.00,1.00,2.00,3.00,3.00,3.00,4.00,1.00,3.00,4.00,2.00,3.00,2.00,1.00,1.00,2.00,2.00,3.00,3.00,2.00,3.00,3.00,2.00,2.00,3.00,4.00,3.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,5.00,1.00,2.00,3.00,1.00,3.00,2.00,4.00,1.00,4.00,4.00,1.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,2.00,2.00,1.00,2.00,2.00,3.00,2.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,1.00,3.00,3.00,1.00,4.00,1.00,2.00,4.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,3.00,2.00,7.00,3.00,3.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,3.00,4.00,98.00,3.00,8.00,4.00,4.00,3.00,10.00
38.00,1.00,1.00,1.00,1.00,3.00,47.00,3.00,2.00,4.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,3.00,3.00,3.00,5.00,3.00,5.00,5.00,2.00,5.00,3.00,3.00,1.00,1.00,3.00,4.00,5.00,3.00,2.00,2.00,2.00,2.00,2.00,4.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,4.00,4.00,1.00,1.00,1.00,2.00,3.00,3.00,2.00,2.00,1.00,2.00,2.00,3.00,3.00,1.00,4.00,4.00,1.00,1.00,3.00,3.00,1.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,1.00,2.00,5.00,5.00,2.00,2.00,5.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,7.00,3.00,3.00,3.00,6.00,2.00,2.00,4.00,1.00,4.00,6.00,2.00,3.00,4.00,98.00,3.00,8.00,3.00,4.00,2.00,8.00
39.00,1.00,1.00,1.00,1.00,3.00,41.00,1.00,2.00,3.00,1.00,2.00,3.00,1.00,1.00,3.00,1.00,4.00,1.00,1.00,3.00,2.00,3.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,2.00,3.00,4.00,3.00,1.00,3.00,2.00,3.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,4.00,4.00,3.00,3.00,4.00,4.00,1.00,1.00,2.00,3.00,2.00,3.00,3.00,2.00,2.00,1.00,1.00,3.00,1.00,1.00,5.00,3.00,1.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,3.00,2.00,3.00,3.00,1.00,2.00,1.00,1.00,3.00,1.00,3.00,1.00,2.00,3.00,3.00,2.00,3.00,2.00,3.00,1.00,2.00,2.00,2.00,1.00,1.00,2.00,2.00,5.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,8.00,2.00,3.00,3.00,1.00,2.00,3.00,3.00,3.00,1.00,1.00,2.00,2.00,3.00,1.00,3.00,7.00,4.00,4.00,2.00,9.00
40.00,1.00,1.00,1.00,1.00,3.00,49.00,1.00,2.00,2.00,2.00,1.00,3.00,2.00,2.00,1.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,3.00,3.00,2.00,3.00,3.00,3.00,2.00,1.00,1.00,5.00,4.00,4.00,5.00,4.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,2.00,3.00,2.00,2.00,2.00,2.00,5.00,1.00,3.00,1.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,1.00,2.00,2.00,3.00,2.00,1.00,3.00,3.00,1.00,2.00,2.00,1.00,1.00,2.00,1.00,3.00,2.00,3.00,3.00,3.00,1.00,1.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,3.00,2.00,1.00,1.00,2.00,2.00,2.00,3.00,1.00,8.00,2.00,2.00,3.00,6.00,2.00,1.00,3.00,5.00,2.00,2.00,2.00,3.00,4.00,1.00,4.00,9.00,3.00,4.00,1.00,1.00
41.00,1.00,1.00,1.00,1.00,3.00,49.00,2.00,2.00,4.00,4.00,2.00,4.00,3.00,3.00,2.00,2.00,3.00,2.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,4.00,4.00,4.00,5.00,4.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,5.00,3.00,3.00,3.00,2.00,4.00,4.00,2.00,1.00,4.00,2.00,1.00,3.00,3.00,3.00,3.00,4.00,1.00,1.00,1.00,1.00,2.00,3.00,3.00,2.00,2.00,1.00,4.00,4.00,1.00,1.00,3.00,2.00,1.00,2.00,3.00,4.00,3.00,3.00,3.00,3.00,2.00,2.00,3.00,2.00,1.00,2.00,1.00,3.00,4.00,2.00,2.00,3.00,2.00,1.00,1.00,1.00,1.00,3.00,2.00,2.00,3.00,3.00,6.00,2.00,1.00,4.00,6.00,2.00,2.00,4.00,2.00,4.00,8.00,2.00,3.00,4.00,5.00,4.00,10.00,3.00,3.00,1.00,12.00
42.00,1.00,1.00,1.00,1.00,3.00,41.00,2.00,2.00,6.00,4.00,1.00,3.00,1.00,3.00,2.00,2.00,4.00,2.00,1.00,1.00,2.00,3.00,3.00,1.00,2.00,3.00,3.00,2.00,3.00,1.00,2.00,2.00,2.00,2.00,5.00,3.00,2.00,3.00,2.00,3.00,3.00,4.00,4.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00,3.00,3.00,1.00,1.00,1.00,2.00,3.00,2.00,2.00,5.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,2.00,2.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,3.00,3.00,2.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,3.00,2.00,3.00,3.00,5.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,2.00,3.00,3.00,2.00,2.00,2.00,7.00,3.00,3.00,3.00,6.00,2.00,1.00,3.00,2.00,3.00,3.00,2.00,2.00,3.00,98.00,1.00,3.00,4.00,6.00,5.00,1.00
43.00,1.00,1.00,1.00,1.00,3.00,45.00,2.00,2.00,1.00,2.00,2.00,3.00,1.00,1.00,1.00,2.00,3.00,3.00,1.00,5.00,3.00,3.00,4.00,5.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,2.00,4.00,3.00,4.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,3.00,4.00,2.00,3.00,2.00,5.00,1.00,2.00,3.00,2.00,2.00,2.00,4.00,4.00,4.00,4.00,2.00,3.00,2.00,4.00,1.00,1.00,3.00,3.00,1.00,1.00,2.00,2.00,1.00,2.00,3.00,3.00,2.00,3.00,3.00,3.00,1.00,1.00,1.00,1.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,3.00,2.00,2.00,3.00,3.00,3.00,1.00,3.00,2.00,7.00,2.00,2.00,3.00,6.00,2.00,1.00,3.00,2.00,2.00,2.00,2.00,3.00,5.00,2.00,4.00,12.00,3.00,1.00,5.00,1.00
44.00,1.00,1.00,1.00,1.00,3.00,43.00,1.00,2.00,3.00,2.00,3.00,2.00,1.00,1.00,1.00,1.00,3.00,2.00,2.00,1.00,2.00,2.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,2.00,3.00,3.00,2.00,3.00,2.00,1.00,1.00,1.00,3.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,2.00,2.00,1.00,1.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,3.00,3.00,3.00,3.00,2.00,4.00,4.00,4.00,3.00,1.00,2.00,2.00,3.00,2.00,4.00,3.00,1.00,2.00,1.00,2.00,1.00,3.00,3.00,3.00,3.00,2.00,3.00,4.00,3.00,1.00,1.00,2.00,1.00,1.00,2.00,3.00,2.00,3.00,2.00,2.00,2.00,1.00,4.00,2.00,2.00,3.00,3.00,1.00,1.00,2.00,2.00,8.00,2.00,1.00,4.00,6.00,1.00,1.00,3.00,2.00,4.00,8.00,2.00,3.00,4.00,98.00,4.00,9.00,3.00,3.00,2.00,13.00
45.00,1.00,1.00,1.00,1.00,3.00,45.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,3.00,3.00,2.00,3.00,3.00,2.00,1.00,2.00,3.00,4.00,3.00,3.00,4.00,4.00,4.00,3.00,1.00,1.00,4.00,3.00,3.00,3.00,2.00,2.00,3.00,3.00,3.00,4.00,4.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,1.00,3.00,3.00,2.00,2.00,3.00,3.00,2.00,3.00,2.00,2.00,2.00,4.00,3.00,2.00,3.00,3.00,4.00,4.00,3.00,2.00,2.00,3.00,3.00,4.00,3.00,1.00,2.00,1.00,2.00,3.00,4.00,3.00,1.00,2.00,3.00,2.00,3.00,3.00,4.00,3.00,2.00,2.00,3.00,2.00,3.00,3.00,2.00,2.00,3.00,2.00,2.00,3.00,1.00,2.00,2.00,2.00,3.00,3.00,3.00,2.00,2.00,2.00,7.00,3.00,3.00,3.00,1.00,2.00,2.00,4.00,3.00,3.00,3.00,2.00,2.00,3.00,98.00,4.00,10.00,4.00,4.00,2.00,1.00
